city,month,type,value
凉山彝族自治州,202101.csv,CO,0.72
凉山彝族自治州,202101.csv,NO2,24.18
凉山彝族自治州,202101.csv,O3,54.4
凉山彝族自治州,202101.csv,PM10,58.96
凉山彝族自治州,202101.csv,PM2.5,39.27
凉山彝族自治州,202101.csv,SO2,10.59
包头,202101.csv,AQI,118.2
包头,202101.csv,CO,1.38
包头,202101.csv,NO2,40.57
包头,202101.csv,O3,35.23
包头,202101.csv,PM10,187.78
包头,202101.csv,PM2.5,58.87
包头,202101.csv,SO2,22.21
北京,202101.csv,AQI,70.91
北京,202101.csv,CO,0.69
北京,202101.csv,NO2,30.81
北京,202101.csv,O3,35.06
北京,202101.csv,PM10,74.82
北京,202101.csv,PM2.5,39.75
北京,202101.csv,SO2,3.75
北海,202101.csv,AQI,85.2
北海,202101.csv,CO,0.86
北海,202101.csv,NO2,25.26
北海,202101.csv,O3,76.61
北海,202101.csv,PM10,84.3
北海,202101.csv,PM2.5,61.63
北海,202101.csv,SO2,13.08
十堰,202101.csv,AQI,92.19
十堰,202101.csv,CO,0.98
十堰,202101.csv,NO2,37.33
十堰,202101.csv,O3,37.39
十堰,202101.csv,PM10,107.1
十堰,202101.csv,PM2.5,60.74
十堰,202101.csv,SO2,6.22
南京,202101.csv,AQI,80.71
南京,202101.csv,CO,0.87
南京,202101.csv,NO2,47.87
南京,202101.csv,O3,33.86
南京,202101.csv,PM10,98.01
南京,202101.csv,PM2.5,49.1
南京,202101.csv,SO2,7.08
南充,202101.csv,AQI,100.03
南充,202101.csv,CO,0.95
南充,202101.csv,NO2,39.18
南充,202101.csv,O3,39.75
南充,202101.csv,PM10,105.37
南充,202101.csv,PM2.5,73.85
南充,202101.csv,SO2,5.84
南宁,202101.csv,AQI,78.68
南宁,202101.csv,CO,0.93
南宁,202101.csv,NO2,44.73
南宁,202101.csv,O3,53.04
南宁,202101.csv,PM10,93.12
南宁,202101.csv,PM2.5,55.87
南宁,202101.csv,SO2,11.7
南平,202101.csv,AQI,49.92
南平,202101.csv,CO,0.59
南平,202101.csv,NO2,27.59
南平,202101.csv,O3,42.94
南平,202101.csv,PM10,47.02
南平,202101.csv,PM2.5,32.63
南平,202101.csv,SO2,7.68
南昌,202101.csv,AQI,94.93
南昌,202101.csv,CO,0.84
南昌,202101.csv,NO2,48.09
南昌,202101.csv,O3,32.26
南昌,202101.csv,PM10,126.21
南昌,202101.csv,PM2.5,55.37
南昌,202101.csv,SO2,11.2
南通,202101.csv,AQI,72.97
南通,202101.csv,CO,0.76
南通,202101.csv,NO2,38.04
南通,202101.csv,O3,42.95
南通,202101.csv,PM10,75.3
南通,202101.csv,PM2.5,46.8
南通,202101.csv,SO2,7.17
南阳,202101.csv,AQI,149.22
南阳,202101.csv,CO,1.16
南阳,202101.csv,NO2,44.0
南阳,202101.csv,O3,35.5
南阳,202101.csv,PM10,181.89
南阳,202101.csv,PM2.5,107.51
南阳,202101.csv,SO2,10.72
博尔塔拉蒙古自治州,202101.csv,AQI,64.81
博尔塔拉蒙古自治州,202101.csv,CO,0.9
博尔塔拉蒙古自治州,202101.csv,NO2,33.43
博尔塔拉蒙古自治州,202101.csv,O3,46.31
博尔塔拉蒙古自治州,202101.csv,PM10,75.88
博尔塔拉蒙古自治州,202101.csv,PM2.5,42.61
博尔塔拉蒙古自治州,202101.csv,SO2,15.42
即墨,202101.csv,AQI,104.05
即墨,202101.csv,CO,1.25
即墨,202101.csv,NO2,39.8
即墨,202101.csv,O3,38.06
即墨,202101.csv,PM10,118.62
即墨,202101.csv,PM2.5,69.47
即墨,202101.csv,SO2,16.55
厦门,202101.csv,AQI,51.52
厦门,202101.csv,CO,0.55
厦门,202101.csv,NO2,28.6
厦门,202101.csv,O3,63.05
厦门,202101.csv,PM10,54.03
厦门,202101.csv,PM2.5,30.64
厦门,202101.csv,SO2,6.7
双鸭山,202101.csv,AQI,68.35
双鸭山,202101.csv,CO,0.64
双鸭山,202101.csv,NO2,22.68
双鸭山,202101.csv,O3,42.38
双鸭山,202101.csv,PM10,66.07
双鸭山,202101.csv,PM2.5,49.13
双鸭山,202101.csv,SO2,14.05
句容,202101.csv,AQI,91.74
句容,202101.csv,CO,0.94
句容,202101.csv,NO2,42.94
句容,202101.csv,O3,34.07
句容,202101.csv,PM10,104.94
句容,202101.csv,PM2.5,63.67
句容,202101.csv,SO2,13.39
台州,202101.csv,AQI,61.55
台州,202101.csv,CO,0.59
台州,202101.csv,NO2,35.87
台州,202101.csv,O3,42.36
台州,202101.csv,PM10,72.01
台州,202101.csv,PM2.5,36.95
台州,202101.csv,SO2,5.73
合肥,202101.csv,AQI,93.44
合肥,202101.csv,CO,0.81
合肥,202101.csv,NO2,51.29
合肥,202101.csv,O3,25.66
合肥,202101.csv,PM10,101.17
合肥,202101.csv,PM2.5,57.2
合肥,202101.csv,SO2,8.08
吉安,202101.csv,AQI,74.9
吉安,202101.csv,CO,0.77
