date,hour,type,city,value
20141015,5,CO,天津,0.96
20141015,5,CO_24h,天津,0.92
20141015,6,AQI,天津,150.0
20141015,6,PM2.5,天津,115.0
20141015,6,PM2.5_24h,天津,84.0
20141015,6,PM10,天津,163.0
20141015,6,PM10_24h,天津,131.0
20141015,6,SO2,天津,22.0
20141015,6,SO2_24h,天津,24.0
20141015,6,NO2,天津,54.0
20141015,6,NO2_24h,天津,50.0
20141015,6,O3,天津,15.0
20141015,6,O3_24h,天津,79.0
20141015,6,O3_8h,天津,29.0
20141015,6,O3_8h_24h,天津,59.0
20141015,6,CO,天津,1.19
20141015,6,CO_24h,天津,0.93
20141015,7,AQI,天津,163.0
20141015,7,PM2.5,天津,124.0
20141015,7,PM2.5_24h,天津,85.0
20141015,7,PM10,天津,181.0
20141015,7,PM10_24h,天津,133.0
20141015,7,SO2,天津,23.0
20141015,7,SO2_24h,天津,24.0
20141015,7,NO2,天津,58.0
20141015,7,NO2_24h,天津,50.0
20141015,7,O3,天津,7.0
20141015,7,O3_24h,天津,79.0
20141015,7,O3_8h,天津,27.0
20141015,7,O3_8h_24h,天津,59.0
20141015,7,CO,天津,1.08
20141015,7,CO_24h,天津,0.92
20141015,8,AQI,天津,177.0
20141015,8,PM2.5,天津,134.0
20141015,8,PM2.5_24h,天津,86.0
20141015,8,PM10,天津,207.0
20141015,8,PM10_24h,天津,134.0
20141015,8,SO2,天津,26.0
20141015,8,SO2_24h,天津,23.0
20141015,8,NO2,天津,58.0
20141015,8,NO2_24h,天津,50.0
20141015,8,O3,天津,7.0
20141015,8,O3_24h,天津,79.0
20141015,8,O3_8h,天津,24.0
20141015,8,O3_8h_24h,天津,59.0
20141015,8,CO,天津,1.21
20141015,8,CO_24h,天津,0.91
20141015,9,AQI,天津,200.0
20141015,9,PM2.5,天津,150.0
20141015,9,PM2.5_24h,天津,87.0
20141015,9,PM10,天津,245.0
20141015,9,PM10_24h,天津,136.0
20141015,9,SO2,天津,37.0
20141015,9,SO2_24h,天津,23.0
20141015,9,NO2,天津,61.0
20141015,9,NO2_24h,天津,50.0
20141015,9,O3,天津,12.0
20141015,9,O3_24h,天津,79.0
20141015,9,O3_8h,天津,21.0
20141015,9,O3_8h_24h,天津,59.0
20141015,9,CO,天津,1.6
20141015,9,CO_24h,天津,0.91
20141015,10,AQI,天津,217.0
20141015,10,PM2.5,天津,167.0
20141015,10,PM2.5_24h,天津,89.0
20141015,10,PM10,天津,269.0
20141015,10,PM10_24h,天津,139.0
20141015,10,SO2,天津,41.0
20141015,10,SO2_24h,天津,24.0
20141015,10,NO2,天津,67.0
20141015,10,NO2_24h,天津,50.0
20141015,10,O3,天津,19.0
20141015,10,O3_24h,天津,79.0
20141015,10,O3_8h,天津,19.0
20141015,10,O3_8h_24h,天津,59.0
20141015,10,CO,天津,1.71
20141015,10,CO_24h,天津,0.94
20141015,11,AQI,天津,223.0
20141015,11,PM2.5,天津,173.0
20141015,11,PM2.5_24h,天津,92.0
20141015,11,PM10,天津,253.0
20141015,11,PM10_24h,天津,144.0
20141015,11,SO2,天津,50.0
20141015,11,SO2_24h,天津,23.0
20141015,11,NO2,天津,65.0
20141015,11,NO2_24h,天津,51.0
20141015,11,O3,天津,31.0
20141015,11,O3_24h,天津,79.0
20141015,11,O3_8h,天津,19.0
20141015,11,O3_8h_24h,天津,59.0
20141015,11,CO,天津,1.4
20141015,11,CO_24h,天津,0.95
20141015,12,AQI,天津,194.0
20141015,12,PM2.5,天津,146.0
20141015,12,PM2.5_24h,天津,94.0
20141015,12,PM10,天津,202.0
20141015,12,PM10_24h,天津,148.0
20141015,12,SO2,天津,21.0
20141015,12,SO2_24h,天津,23.0
20141015,12,NO2,天津,50.0
20141015,12,NO2_24h,天津,51.0
20141015,12,O3,天津,48.0
20141015,12,O3_24h,天津,79.0
20141015,12,O3_8h,天津,21.0
20141015,12,O3_8h_24h,天津,59.0
20141015,12,CO,天津,1.09
20141015,12,CO_24h,天津,0.95
20141015,13,AQI,天津,119.0
20141015,13,PM2.5,天津,90.0
20141015,13,PM2.5_24h,天津,94.0
20141015,13,PM10,天津,158.0
20141015,13,PM10_24h,天津,148.0
20141015,13,SO2,天津,26.0
20141015,13,SO2_24h,天津,23.0
20141015,13,NO2,天津,32.0
20141015,13,NO2_24h,天津,51.0
20141015,13,O3,天津,65.0
20141015,13,O3_24h,天津,88.0
20141015,13,O3_8h,天津,25.0
20141015,13,O3_8h_24h,天津,59.0
20141015,13,CO,天津,0.96
20141015,13,CO_24h,天津,0.96
20141015,14,AQI,天津,110.0
20141015,14,PM2.5,天津,56.0
20141015,14,PM2.5_24h,天津,93.0
20141015,14,PM10,天津,170.0
20141015,14,PM10_24h,天津,149.0
20141015,14,SO2,天津,4.0
20141015,14,SO2_24h,天津,22.0
20141015,14,NO2,天津,13.0
20141015,14,NO2_24h,天津,51.0
20141015,14,O3,天津,57.0
20141015,14,O3_24h,天津,88.0
20141015,14,O3_8h,天津,31.0
20141015,14,O3_8h_24h,天津,59.0
20141015,14,CO,天津,0.44
20141015,14,CO_24h,天津,0.94
20141015,15,AQI,天津,99.0
20141015,15,PM2.5,天津,22.0
20141015,15,PM2.5_24h,天津,92.0
20141015,15,PM10,天津,147.0
20141015,15,PM10_24h,天津,152.0
20141015,15,SO2,天津,17.0
20141015,15,SO2_24h,天津,22.0
20141015,15,NO2,天津,11.0
20141015,15,NO2_24h,天津,50.0
20141015,15,O3,天津,61.0
20141015,15,O3_24h,天津,83.0
20141015,15,O3_8h,天津,38.0
20141015,15,O3_8h_24h,天津,59.0
20141015,15,CO,天津,0.6
20141015,15,CO_24h,天津,0.94
20141015,17,AQI,天津,70.0
20141015,17,PM2.5,天津,16.0
20141015,17,PM2.5_24h,天津,88.0
20141015,17,PM10,天津,90.0
20141015,17,PM10_24h,天津,153.0
20141015,17,SO2,天津,3.0
20141015,17,SO2_24h,天津,21.0
20141015,17,NO2,天津,16.0
20141015,17,NO2_24h,天津,49.0
20141015,17,O3,天津,51.0
20141015,17,O3_24h,天津,75.0
20141015,17,O3_8h,天津,49.0
20141015,17,O3_8h_24h,天津,59.0
20141015,17,CO,天津,0.42
20141015,17,CO_24h,天津,0.92
20141015,18,AQI,天津,66.0
20141015,18,PM2.5,天津,14.0
20141015,18,PM2.5_24h,天津,87.0
20141015,18,PM10,天津,81.0
20141015,18,PM10_24h,天津,153.0
20141015,18,SO2,天津,4.0
20141015,18,SO2_24h,天津,21.0
20141015,18,NO2,天津,22.0
20141015,18,NO2_24h,天津,48.0
20141015,18,O3,天津,45.0
20141015,18,O3_24h,天津,75.0
20141015,18,O3_8h,天津,52.0
20141015,18,O3_8h_24h,天津,57.0
20141015,18,CO,天津,0.45
20141015,18,CO_24h,天津,0.91
20141015,19,AQI,天津,60.0
20141015,19,PM2.5,天津,16.0
20141015,19,PM2.5_24h,天津,86.0
20141015,19,PM10,天津,69.0
20141015,19,PM10_24h,天津,151.0
20141015,19,SO2,天津,5.0
20141015,19,SO2_24h,天津,20.0
20141015,19,NO2,天津,33.0
20141015,19,NO2_24h,天津,46.0
20141015,19,O3,天津,33.0
20141015,19,O3_24h,天津,75.0
20141015,19,O3_8h,天津,52.0
20141015,19,O3_8h_24h,天津,54.0
20141015,19,CO,天津,0.52
20141015,19,CO_24h,天津,0.9
20141015,20,AQI,天津,59.0
20141015,20,PM2.5,天津,21.0
20141015,20,PM2.5_24h,天津,84.0
20141015,20,PM10,天津,68.0
20141015,20,PM10_24h,天津,149.0
20141015,20,SO2,天津,6.0
20141015,20,SO2_24h,天津,20.0
20141015,20,NO2,天津,37.0
20141015,20,NO2_24h,天津,44.0
20141015,20,O3,天津,26.0
20141015,20,O3_24h,天津,75.0
20141015,20,O3_8h,天津,49.0
20141015,20,O3_8h_24h,天津,52.0
20141015,20,CO,天津,0.48
20141015,20,CO_24h,天津,0.88
20141015,21,AQI,天津,53.0
20141015,21,PM2.5,天津,25.0
20141015,21,PM2.5_24h,天津,82.0
20141015,21,PM10,天津,56.0
20141015,21,PM10_24h,天津,144.0
20141015,21,SO2,天津,5.0
20141015,21,SO2_24h,天津,19.0
20141015,21,NO2,天津,34.0
20141015,21,NO2_24h,天津,43.0
20141015,21,O3,天津,26.0
20141015,21,O3_24h,天津,75.0
20141015,21,O3_8h,天津,45.0
20141015,21,O3_8h_24h,天津,52.0
20141015,21,CO,天津,0.46
20141015,21,CO_24h,天津,0.87
20141015,22,AQI,天津,55.0
20141015,22,PM2.5,天津,21.0
20141015,22,PM2.5_24h,天津,79.0
20141015,22,PM10,天津,60.0
20141015,22,PM10_24h,天津,141.0
20141015,22,SO2,天津,5.0
20141015,22,SO2_24h,天津,18.0
20141015,22,NO2,天津,36.0
20141015,22,NO2_24h,天津,42.0
20141015,22,O3,天津,23.0
20141015,22,O3_24h,天津,75.0
20141015,22,O3_8h,天津,40.0
20141015,22,O3_8h_24h,天津,52.0
20141015,22,CO,天津,0.46
20141015,22,CO_24h,天津,0.85
20141015,23,AQI,天津,50.0
20141015,23,PM2.5,天津,18.0
20141015,23,PM2.5_24h,天津,77.0
20141015,23,PM10,天津,50.0
20141015,23,PM10_24h,天津,137.0
20141015,23,SO2,天津,4.0
20141015,23,SO2_24h,天津,18.0
20141015,23,NO2,天津,34.0
20141015,23,NO2_24h,天津,41.0
20141015,23,O3,天津,24.0
20141015,23,O3_24h,天津,75.0
20141015,23,O3_8h,天津,36.0
20141015,23,O3_8h_24h,天津,52.0
20141015,23,CO,天津,0.45
20141015,23,CO_24h,天津,0.84
20141015,0,AQI,石家庄,104.0
20141015,0,PM2.5,石家庄,78.0
20141015,0,PM2.5_24h,石家庄,63.0
20141015,0,PM10,石家庄,121.0
20141015,0,PM10_24h,石家庄,122.0
20141015,0,SO2,石家庄,31.0
20141015,0,SO2_24h,石家庄,29.0
20141015,0,NO2,石家庄,52.0
20141015,0,NO2_24h,石家庄,36.0
20141015,0,O3,石家庄,5.0
20141015,0,O3_24h,石家庄,55.0
20141015,0,O3_8h,石家庄,23.0
20141015,0,O3_8h_24h,石家庄,42.0
20141015,0,CO,石家庄,0.93
20141015,0,CO_24h,石家庄,0.81
20141015,1,AQI,石家庄,94.0
20141015,1,PM2.5,石家庄,70.0
20141015,1,PM2.5_24h,石家庄,64.0
20141015,1,PM10,石家庄,121.0
20141015,1,PM10_24h,石家庄,123.0
20141015,1,SO2,石家庄,25.0
20141015,1,SO2_24h,石家庄,29.0
20141015,1,NO2,石家庄,48.0
20141015,1,NO2_24h,石家庄,37.0
20141015,1,O3,石家庄,2.0
20141015,1,O3_24h,石家庄,55.0
20141015,1,O3_8h,石家庄,17.0
20141015,1,O3_8h_24h,石家庄,42.0
20141015,1,CO,石家庄,0.96
20141015,1,CO_24h,石家庄,0.82
20141015,2,AQI,石家庄,105.0
20141015,2,PM2.5,石家庄,79.0
20141015,2,PM2.5_24h,石家庄,64.0
20141015,2,PM10,石家庄,119.0
20141015,2,PM10_24h,石家庄,123.0
20141015,2,SO2,石家庄,22.0
20141015,2,SO2_24h,石家庄,29.0
20141015,2,NO2,石家庄,43.0
20141015,2,NO2_24h,石家庄,37.0
20141015,2,O3,石家庄,2.0
20141015,2,O3_24h,石家庄,55.0
20141015,2,O3_8h,石家庄,14.0
20141015,2,O3_8h_24h,石家庄,42.0
20141015,2,CO,石家庄,0.98
20141015,2,CO_24h,石家庄,0.82
20141015,3,AQI,石家庄,101.0
20141015,3,PM2.5,石家庄,76.0
20141015,3,PM2.5_24h,石家庄,65.0
20141015,3,PM10,石家庄,137.0
20141015,3,PM10_24h,石家庄,124.0
20141015,3,SO2,石家庄,25.0
20141015,3,SO2_24h,石家庄,29.0
