province,year_month,AQI,CO,NO2,O3,PM10,PM2.5,SO2,population,gdp,region,climate_type,is_coastal
Tibet,2018-07,29.275714285714287,0.5128571428571428,9.72,72.57571428571428,22.60571428571429,8.934285714285714,6.028571428571429,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-08,31.322857142857142,0.43285714285714283,8.785714285714286,63.82142857142857,27.49857142857143,11.185714285714285,4.388571428571429,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-09,27.37,0.4,9.247142857142858,64.72142857142858,20.494285714285716,7.687142857142858,4.63,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-10,32.37428571428571,0.4757142857142857,11.491428571428571,71.99,26.445714285714285,9.632857142857144,5.25,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-11,38.52285714285714,0.63,14.705714285714285,54.855714285714285,39.050000000000004,14.442857142857141,6.487142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2018-12,36.27285714285714,0.7185714285714286,16.94,54.74428571428571,33.885714285714286,16.315714285714286,7.631428571428572,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-01,32.29,0.75,15.134285714285713,58.71714285714285,27.91142857142857,14.10142857142857,8.032857142857143,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-02,29.84714285714286,0.63,10.112857142857141,68.03857142857143,23.42142857142857,10.06142857142857,6.404285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-03,32.23714285714286,0.54,11.41,76.04857142857144,26.731428571428573,10.604285714285714,5.917142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-04,34.64,0.4571428571428572,11.578571428571427,92.21000000000001,26.41142857142857,9.504285714285714,4.851428571428571,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-05,37.67285714285715,0.38571428571428573,9.40857142857143,108.19571428571429,25.987142857142857,11.124285714285715,5.1242857142857146,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-06,32.45142857142857,0.41285714285714287,8.745714285714286,95.55,20.38,8.5,5.1499999999999995,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-07,27.509999999999998,0.4471428571428571,11.038571428571428,77.42857142857143,16.922857142857143,6.862857142857143,5.775714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-08,26.405714285714286,0.43142857142857144,11.317142857142857,70.84285714285714,17.595714285714287,6.898571428571429,6.058571428571429,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-09,25.944285714285716,0.4985714285714286,11.977142857142857,63.230000000000004,18.818571428571428,7.15142857142857,5.914285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-10,28.568571428571428,0.5485714285714286,15.192857142857141,62.19857142857143,22.784285714285716,9.214285714285714,6.378571428571428,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-11,33.184285714285714,0.6614285714285714,18.45,56.441428571428574,30.392857142857142,12.627142857142857,6.684285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2019-12,34.191428571428574,0.7157142857142856,18.388571428571428,56.02571428571429,32.01428571428571,13.459999999999999,7.467142857142856,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-01,32.67714285714286,0.66,13.782857142857143,69.19285714285715,25.541428571428575,12.15,7.711428571428572,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-02,28.474285714285713,0.6528571428571429,7.694285714285714,76.13142857142857,18.294285714285714,9.537142857142857,7.685714285714285,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-03,31.244285714285716,0.5314285714285715,7.654285714285714,84.32428571428571,22.041428571428572,8.05857142857143,6.9399999999999995,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-04,33.09142857142857,0.49571428571428566,10.102857142857143,89.01285714285714,23.76571428571429,8.775714285714285,7.224285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-05,34.48142857142857,0.4757142857142857,9.01,101.86428571428573,19.807142857142857,8.044285714285715,7.394285714285714,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-06,29.765714285714285,0.46714285714285714,8.40857142857143,86.78999999999999,14.447142857142856,7.21,7.6085714285714285,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-07,24.81714285714286,0.45,9.481428571428571,69.38714285714285,13.442857142857141,6.332857142857143,8.385714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-08,25.16857142857143,0.41428571428571426,10.198571428571428,68.25428571428571,15.87857142857143,6.258571428571429,7.9557142857142855,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-09,26.405714285714286,0.4942857142857143,11.36,70.03999999999999,15.781428571428572,6.241428571428571,7.4799999999999995,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-10,29.99857142857143,0.5185714285714286,15.611428571428572,60.57857142857142,25.075714285714287,9.534285714285714,8.234285714285715,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-11,34.39714285714286,0.6857142857142857,19.004285714285714,60.462857142857146,30.985714285714288,13.681428571428572,8.031428571428572,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2020-12,35.43625,0.8325,18.675,56.3175,33.2525,16.04875,8.05125,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-01,31.382857142857144,0.63,14.120000000000001,63.77857142857143,28.062857142857144,12.155714285714286,7.441428571428572,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-02,28.43285714285714,0.5728571428571428,10.542857142857143,71.02428571428571,20.994285714285716,11.045714285714286,7.17,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-03,33.49285714285714,0.5571428571428572,9.59,90.82857142857142,26.247142857142855,11.435714285714285,6.957142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-04,35.885714285714286,0.4957142857142857,8.995714285714286,103.22,25.57,11.174285714285714,6.925714285714286,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-05,32.59428571428572,0.4985714285714286,8.48,100.07000000000001,15.434285714285712,6.982857142857143,7.127142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-06,28.351428571428567,0.43285714285714283,7.894285714285715,83.63714285714286,13.717142857142857,6.324285714285715,7.1571428571428575,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-07,26.164285714285715,0.4614285714285714,8.65857142857143,79.78571428571429,11.354285714285714,5.327142857142857,7.411428571428571,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-08,22.05142857142857,0.4428571428571429,7.9957142857142856,66.9042857142857,9.952857142857143,4.527142857142857,6.928571428571429,867500.0,747.6,Southwest China,High-Altitude Cold,No
Tibet,2021-09,22.607142857142858,0.45142857142857146,9.92,63.23857142857143,13.172857142857143,5.711428571428572,7.097142857142857,867500.0,747.6,Southwest China,High-Altitude Cold,No
