city,date,type,value,province,is_coastal,population,gdp,climate_type,region
临安,201405,NO2,30.72,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临安,201405,O3,81.71,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临安,201405,PM10,123.69,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临安,201405,PM2.5,64.76,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临安,201405,SO2,12.49,浙江省,否,573100.0,132.5,亚热带季风气候,华东
临汾,201405,AQI,110.37,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,CO,2.29,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,NO2,38.56,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,O3,54.84,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,PM10,144.12,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,PM2.5,77.25,山西省,否,4316611.0,1760.4,温带季风气候,华北
临汾,201405,SO2,63.14,山西省,否,4316611.0,1760.4,温带季风气候,华北
临沂,201405,AQI,145.79,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,CO,1.66,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,NO2,69.33,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,O3,58.81,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,PM10,212.43,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,PM2.5,101.76,山东省,否,11018365.0,5778.5,温带季风气候,华东
临沂,201405,SO2,75.66,山东省,否,11018365.0,5778.5,温带季风气候,华东
丹东,201405,AQI,73.05,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,CO,1.06,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,NO2,27.45,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,O3,93.08,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,PM10,92.82,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,PM2.5,47.3,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丹东,201405,SO2,17.55,辽宁省,是,2426000.0,912.1,温带季风气候,东北
丽水,201405,AQI,61.05,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,CO,0.78,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,NO2,32.02,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,O3,67.25,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,PM10,60.2,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,PM2.5,42.56,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
丽水,201405,SO2,13.72,浙江省,否,2211685.0,1580.3,亚热带季风气候,华东
义乌,201405,AQI,76.0,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,CO,1.03,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,NO2,41.47,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,O3,67.42,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,PM10,88.37,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,PM2.5,53.77,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
义乌,201405,SO2,21.35,浙江省,否,1854000.0,1730.6,亚热带季风气候,华东
乌鲁木齐,201405,AQI,88.84,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,CO,0.61,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,NO2,45.33,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,O3,45.87,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,PM10,125.71,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,PM2.5,31.53,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
乌鲁木齐,201405,SO2,12.3,新疆维吾尔自治区,否,4075794.0,3893.2,温带大陆性气候,西北
九江,201405,AQI,85.92,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,CO,0.8,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,NO2,27.69,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,O3,30.86,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,PM10,108.2,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,PM2.5,54.38,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
九江,201405,SO2,28.44,江西省,否,4628875.0,4026.6,亚热带季风气候,华东
乳山,201405,AQI,72.39,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,CO,0.83,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,NO2,12.75,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,O3,124.89,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,PM10,75.62,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,PM2.5,44.83,山东省,是,530032.0,352.5,温带季风气候,华东
乳山,201405,SO2,17.57,山东省,是,530032.0,352.5,温带季风气候,华东
云浮,201405,AQI,46.23,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,CO,1.41,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,NO2,16.49,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,O3,41.69,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,PM10,42.23,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,PM2.5,17.73,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
云浮,201405,SO2,11.95,广东省,否,1074000.0,1008.5,亚热带季风气候,华南
佛山,201405,AQI,46.91,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,CO,0.88,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,NO2,42.62,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,O3,34.91,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,PM10,48.95,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,PM2.5,29.26,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
佛山,201405,SO2,21.53,广东省,否,9498863.0,12698.4,亚热带季风气候,华南
保定,201405,AQI,145.08,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,CO,1.21,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,NO2,33.03,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,O3,79.96,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,PM10,222.56,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,PM2.5,78.24,河北省,否,9412023.0,3880.3,温带季风气候,华北
保定,201405,SO2,42.8,河北省,否,9412023.0,3880.3,温带季风气候,华北
克拉玛依,201405,AQI,55.29,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,CO,0.72,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,NO2,13.71,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,O3,87.78,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,PM10,62.43,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,PM2.5,25.52,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
克拉玛依,201405,SO2,5.43,新疆维吾尔自治区,否,492084.0,1020.5,温带大陆性气候,西北
兰州,201405,AQI,99.25,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,CO,1.37,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,NO2,52.62,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,O3,60.29,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,PM10,142.92,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,PM2.5,58.71,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
兰州,201405,SO2,32.44,甘肃省,否,4374432.0,3343.5,温带大陆性气候,西北
包头,201405,AQI,150.47,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,CO,0.8,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,NO2,36.23,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,O3,88.91,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,PM10,231.1,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,PM2.5,54.3,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
包头,201405,SO2,38.21,内蒙古自治区,否,2856292.0,3749.9,温带大陆性气候,华北
北京,201405,AQI,111.36,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,CO,0.93,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,NO2,55.34,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,O3,97.89,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,PM10,143.99,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,PM2.5,69.59,北京市,否,21893095.0,41610.9,温带季风气候,华北
北京,201405,SO2,16.87,北京市,否,21893095.0,41610.9,温带季风气候,华北
北海,201405,AQI,45.0,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,CO,1.49,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,NO2,13.04,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,O3,72.5,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,PM10,47.2,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,PM2.5,11.8,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
北海,201405,SO2,15.02,广西壮族自治区,是,1775688.0,1210.2,亚热带季风气候,华南
南京,201405,AQI,140.26,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,CO,0.93,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,NO2,56.85,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,O3,103.04,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,PM10,189.77,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,PM2.5,100.0,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南京,201405,SO2,25.52,江苏省,否,9314712.0,16907.9,亚热带季风气候,华东
南充,201405,AQI,105.62,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,CO,0.74,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,NO2,23.6,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,O3,31.28,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,PM10,122.05,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,PM2.5,79.1,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南充,201405,SO2,15.57,四川省,否,2783486.0,2685.5,亚热带季风气候,西南
南宁,201405,AQI,56.01,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,CO,1.08,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,NO2,26.75,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,O3,56.9,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,PM10,61.14,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,PM2.5,28.17,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南宁,201405,SO2,12.06,广西壮族自治区,否,8740232.0,5218.3,亚热带季风气候,华南
南昌,201405,AQI,89.84,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,CO,1.31,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,NO2,35.53,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,O3,57.94,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,PM10,107.08,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,PM2.5,61.91,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南昌,201405,SO2,27.92,江西省,否,5581611.0,7203.5,亚热带季风气候,华东
南通,201405,AQI,114.23,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,CO,0.85,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,NO2,52.24,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,O3,88.82,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,PM10,142.09,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,PM2.5,80.64,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
南通,201405,SO2,34.29,江苏省,是,7282835.0,11379.6,亚热带季风气候,华东
即墨,201405,AQI,80.1,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,CO,0.61,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,NO2,39.14,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,O3,103.4,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,PM10,106.57,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,PM2.5,46.78,山东省,否,1273000.0,1070.6,温带季风气候,华东
即墨,201405,SO2,31.8,山东省,否,1273000.0,1070.6,温带季风气候,华东
厦门,201405,AQI,64.1,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,CO,0.82,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,NO2,36.09,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,O3,71.34,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,PM10,64.72,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,PM2.5,44.91,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
厦门,201405,SO2,17.41,福建省,是,5289879.0,7802.7,亚热带季风气候,华东
句容,201405,AQI,134.03,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,CO,0.84,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,NO2,38.05,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,O3,79.98,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,PM10,153.22,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,PM2.5,94.4,江苏省,否,617556.0,520.3,亚热带季风气候,华东
句容,201405,SO2,34.22,江苏省,否,617556.0,520.3,亚热带季风气候,华东
台州,201405,AQI,80.71,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,CO,0.95,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,NO2,31.95,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,O3,77.45,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,PM10,88.17,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,PM2.5,58.6,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
台州,201405,SO2,8.21,浙江省,是,6125000.0,6040.7,亚热带季风气候,华东
合肥,201405,AQI,126.49,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,CO,0.88,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,NO2,28.72,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,O3,39.4,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,PM10,164.23,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,PM2.5,86.2,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
合肥,201405,SO2,20.52,安徽省,否,9362701.0,12013.1,亚热带季风气候,华东
吉林,201405,AQI,55.61,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,CO,1.02,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,NO2,34.96,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,O3,71.75,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,PM10,62.43,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,PM2.5,29.9,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吉林,201405,SO2,9.63,吉林省,否,3623713.0,1517.9,温带季风气候,东北
吴江,201405,AQI,110.27,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,CO,0.81,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,NO2,39.21,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,O3,77.71,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,PM10,142.28,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,PM2.5,76.68,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
吴江,201405,SO2,21.8,江苏省,否,1200000.0,285.4,亚热带季风气候,华东
呼和浩特,201405,AQI,107.65,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,CO,1.5,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,NO2,39.49,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,O3,52.58,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,PM10,152.93,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,PM2.5,43.01,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
呼和浩特,201405,SO2,29.57,内蒙古自治区,否,3284827.0,3329.1,温带大陆性气候,华北
咸阳,201405,AQI,103.93,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,CO,1.07,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,NO2,52.39,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,O3,61.01,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,PM10,153.29,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,PM2.5,50.46,陕西省,否,3742634.0,2817.6,温带季风气候,西北
咸阳,201405,SO2,42.82,陕西省,否,3742634.0,2817.6,温带季风气候,西北
哈尔滨,201405,AQI,51.9,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,CO,0.64,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,NO2,41.19,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,O3,54.46,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,PM10,56.28,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,PM2.5,28.53,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
哈尔滨,201405,SO2,15.69,黑龙江省,否,5490100.0,5490.1,温带季风气候,东北
唐山,201405,AQI,127.72,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,CO,2.45,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,NO2,60.81,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,O3,99.5,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,PM10,167.05,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,PM2.5,86.31,河北省,是,7733200.0,8900.7,温带季风气候,华北
唐山,201405,SO2,67.63,河北省,是,7733200.0,8900.7,温带季风气候,华北
嘉兴,201405,AQI,101.09,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,CO,0.89,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,NO2,44.42,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,O3,103.43,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,PM10,120.11,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,PM2.5,73.04,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉兴,201405,SO2,25.89,浙江省,否,4722411.0,6739.5,亚热带季风气候,华东
嘉峪关,201405,AQI,95.11,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,CO,0.75,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,NO2,24.51,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,O3,128.25,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,PM10,148.11,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,PM2.5,39.93,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
嘉峪关,201405,SO2,24.67,甘肃省,否,232200.0,362.6,温带大陆性气候,西北
大同,201405,AQI,115.94,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,CO,1.1,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,NO2,29.65,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,O3,74.13,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,PM10,163.25,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,PM2.5,51.38,山西省,否,2713300.0,1364.1,温带季风气候,华北
大同,201405,SO2,28.92,山西省,否,2713300.0,1364.1,温带季风气候,华北
大庆,201405,AQI,37.06,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,CO,0.37,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,NO2,18.0,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,O3,68.55,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,PM10,36.78,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,PM2.5,20.91,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大庆,201405,SO2,8.66,黑龙江省,否,2781562.0,2988.6,温带季风气候,东北
大连,201405,AQI,69.8,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,CO,0.59,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,NO2,43.48,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,O3,62.34,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,PM10,88.22,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,PM2.5,40.08,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
大连,201405,SO2,8.7,辽宁省,是,7435000.0,8430.9,温带季风气候,东北
天津,201405,AQI,123.08,天津市,是,13866009.0,16103.9,温带季风气候,华北
天津,201405,CO,1.43,天津市,是,13866009.0,16103.9,温带季风气候,华北
天津,201405,NO2,57.05,天津市,是,13866009.0,16103.9,温带季风气候,华北
天津,201405,O3,64.38,天津市,是,13866009.0,16103.9,温带季风气候,华北
天津,201405,PM10,151.83,天津市,是,13866009.0,16103.9,温带季风气候,华北
